+ .venv/bin/python -m twomove.sweep --stage s2b --materials k_pawns8 --regimes ET --games 512 --nodes 12000 --out experiments/results/ocean --workers 20
1 points, 512 games max
  [s2b-k_pawns8-ET] 87/512 games (2140/h, eta 12m)
  [s2b-k_pawns8-ET] 88/512 games (2162/h, eta 12m)
  [s2b-k_pawns8-ET] 89/512 games (2179/h, eta 12m)
  [s2b-k_pawns8-ET] 90/512 games (2202/h, eta 11m)
  [s2b-k_pawns8-ET] 91/512 games (2216/h, eta 11m)
  [s2b-k_pawns8-ET] 92/512 games (2184/h, eta 12m)
  [s2b-k_pawns8-ET] 93/512 games (2202/h, eta 11m)
  [s2b-k_pawns8-ET] 94/512 games (2218/h, eta 11m)
  [s2b-k_pawns8-ET] 95/512 games (2242/h, eta 11m)
  [s2b-k_pawns8-ET] 96/512 games (2253/h, eta 11m)
  [s2b-k_pawns8-ET] 97/512 games (2226/h, eta 11m)
  [s2b-k_pawns8-ET] 98/512 games (2233/h, eta 11m)
  [s2b-k_pawns8-ET] 99/512 games (2222/h, eta 11m)
  [s2b-k_pawns8-ET] 100/512 games (2243/h, eta 11m)
  [s2b-k_pawns8-ET] 101/512 games (2239/h, eta 11m)
  [s2b-k_pawns8-ET] 102/512 games (2258/h, eta 11m)
  [s2b-k_pawns8-ET] 103/512 games (2275/h, eta 11m)
  [s2b-k_pawns8-ET] 104/512 games (2228/h, eta 11m)
  [s2b-k_pawns8-ET] 105/512 games (2200/h, eta 11m)
  [s2b-k_pawns8-ET] 106/512 games (2212/h, eta 11m)
  [s2b-k_pawns8-ET] 107/512 games (2226/h, eta 11m)
  [s2b-k_pawns8-ET] 108/512 games (2218/h, eta 11m)
  [s2b-k_pawns8-ET] 109/512 games (2220/h, eta 11m)
  [s2b-k_pawns8-ET] 110/512 games (2214/h, eta 11m)
  [s2b-k_pawns8-ET] 111/512 games (2233/h, eta 11m)
  [s2b-k_pawns8-ET] 112/512 games (2230/h, eta 11m)
  [s2b-k_pawns8-ET] 113/512 games (2216/h, eta 11m)
  [s2b-k_pawns8-ET] 114/512 games (2205/h, eta 11m)
  [s2b-k_pawns8-ET] 115/512 games (2207/h, eta 11m)
  [s2b-k_pawns8-ET] 116/512 games (2213/h, eta 11m)
  [s2b-k_pawns8-ET] 117/512 games (2222/h, eta 11m)
  [s2b-k_pawns8-ET] 118/512 games (2197/h, eta 11m)
  [s2b-k_pawns8-ET] 119/512 games (2211/h, eta 11m)
  [s2b-k_pawns8-ET] 120/512 games (2229/h, eta 11m)
  [s2b-k_pawns8-ET] 121/512 games (2247/h, eta 10m)
  [s2b-k_pawns8-ET] 122/512 games (2253/h, eta 10m)
  [s2b-k_pawns8-ET] 123/512 games (2249/h, eta 10m)
  [s2b-k_pawns8-ET] 124/512 games (2256/h, eta 10m)
  [s2b-k_pawns8-ET] 125/512 games (2268/h, eta 10m)
  [s2b-k_pawns8-ET] 126/512 games (2260/h, eta 10m)
  [s2b-k_pawns8-ET] 127/512 games (2255/h, eta 10m)
  [s2b-k_pawns8-ET] 128/512 games (2263/h, eta 10m)
  [s2b-k_pawns8-ET] 129/512 games (2278/h, eta 10m)
  [s2b-k_pawns8-ET] 130/512 games (2285/h, eta 10m)
  [s2b-k_pawns8-ET] 131/512 games (2298/h, eta 10m)
  [s2b-k_pawns8-ET] 132/512 games (2267/h, eta 10m)
  [s2b-k_pawns8-ET] 133/512 games (2252/h, eta 10m)
  [s2b-k_pawns8-ET] 134/512 games (2224/h, eta 10m)
  [s2b-k_pawns8-ET] 135/512 games (2238/h, eta 10m)
  [s2b-k_pawns8-ET] 136/512 games (2245/h, eta 10m)
  [s2b-k_pawns8-ET] 137/512 games (2223/h, eta 10m)
  [s2b-k_pawns8-ET] 138/512 games (2238/h, eta 10m)
  [s2b-k_pawns8-ET] 139/512 games (2238/h, eta 10m)
  [s2b-k_pawns8-ET] 140/512 games (2246/h, eta 10m)
